"Story","Title","Result","Date","Stability","Duration (s)"
"Ingreso de Login","Ingreso exitoso de login","SUCCESS","08:20:30","0.0","6.85"
"Ingreso de Login","Ingreso No exitoso de login","SUCCESS","08:20:38","0.0","23.64"
"Realizar pagos a los beneficiarios","Pagar un monto superior al que tiene disponible la cuenta","FAILURE","11:41:35","0.0","11.18"
"Realizar pagos a los beneficiarios","Pagar un monto menor o igual al que tiene disponible la cuenta con fecha actual","SUCCESS","11:41:48","0.0","10.39"
"Realizar pagos a los beneficiarios","Pagar un monto menor o igual al que tiene disponible la cuenta con fecha pasada","FAILURE","11:41:58","0.0","22.03"
"Realizar pagos a los beneficiarios","Pagar un monto menor o igual al que tiene disponible la cuenta con fecha futura","SUCCESS","11:42:21","0.0","11.2"
"Crear un nuevo Beneficiario","Diligenciar formulario de creación correctamente","SUCCESS","11:29:56","0.0","10.1"
"Crear un nuevo Beneficiario","Diligenciar formulario de creación incorrectamente","FAILURE","11:35:52","0.0","11.66"
"Realizar pagos a los beneficiarios","Pagar un monto superior al que tiene disponible la cuenta","PENDING","14:20:44","0.0","7.13"
"Realizar pagos a los beneficiarios","Pagar un monto menor o igual al que tiene disponible la cuenta","SUCCESS","08:21:05","0.0","9.33"
"Transferencia de dinero","Cuenta de origen con saldo y monto a enviar positivo","SUCCESS","09:20:24","0.0","9.26"
"Transferencia de dinero","Cuenta de origen con saldo y el monto a enviar sea positivo","SUCCESS","17:48:46","0.0","19.99"
"Transferencia de dinero","Cuenta de origen con saldo y el monto a enviar sea negativo","FAILURE","17:49:08","0.0","13.96"
"Transferencia de dinero","Cuenta de origen con saldo y el monto a enviar sea 0","FAILURE","17:49:22","0.0","14.83"
